ID,StudyID,Sex,AgeAtScreen,Age_Bin,BodyWeight,BW_Bin,BW_zscore,FRC,Cg,Ettube,EC150,Raw_mean,Raw_std,Raw_min,Raw_max,Iaw_mean,Iaw_std,Iaw_min,Iaw_max,Rti_mean,Rti_std,Rti_min,Rti_max,Iti_mean,Iti_std,Iti_min,Iti_max,Cti_mean,Cti_std,Cti_min,Cti_max,Eti,ResNorm_mean,ResNorm_std,ResNorm_min,ResNorm_max,gest_nanCount_PM,gest_nanCount_O3,gest_nanCount_NO2,gest_nanCount_Temp,gest_countPMsensitive,gest_countPMunhealthy,gest_countO3sensitive,gest_countO3unhealthy,gest_countNO2sensitive,gest_countNO2unhealthy,gest_countTempsensitive,gest_countTempunhealthy,gest_avgPM,gest_avgO3,gest_avgNO2,gest_avgTemp,gest_AUCPM,gest_AUCO3,gest_AUCNO2,gest_AUCTemp,neonatal_nanCount_PM,neonatal_nanCount_O3,neonatal_nanCount_NO2,neonatal_nanCount_Temp,neonatal_countPMsensitive,neonatal_countPMunhealthy,neonatal_countO3sensitive,neonatal_countO3unhealthy,neonatal_countNO2sensitive,neonatal_countTempsensitive,neonatal_countTempunhealthy,neonatal_avgPM,neonatal_avgO3,neonatal_avgNO2,neonatal_avgTemp,neonatal_AUCPM,neonatal_AUCO3,neonatal_AUCNO2,neonatal_AUCTemp,infancy_nanCount_PM,infancy_nanCount_O3,infancy_nanCount_NO2,infancy_nanCount_Temp,infancy_countPMsensitive,infancy_countPMunhealthy,infancy_countO3sensitive,infancy_countO3unhealthy,infancy_countNO2sensitive,infancy_countNO2unhealthy,infancy_countTempsensitive,infancy_countTempunhealthy,infancy_avgPM,infancy_avgO3,infancy_avgNO2,infancy_avgTemp,infancy_AUCPM,infancy_AUCO3,infancy_AUCNO2,infancy_AUCTemp,postnatal_nanCount_PM,postnatal_nanCount_O3,postnatal_nanCount_NO2,postnatal_nanCount_Temp,postnatal_countPMsensitive,postnatal_countPMunhealthy,postnatal_countO3sensitive,postnatal_countO3unhealthy,postnatal_countNO2sensitive,postnatal_countNO2unhealthy,postnatal_countTempsensitive,postnatal_countTempunhealthy,postnatal_avgPM,postnatal_avgO3,postnatal_avgNO2,postnatal_avgTemp,postnatal_AUCPM,postnatal_AUCO3,postnatal_AUCNO2,postnatal_AUCTemp,postnatal_totalhours,PFTpre_7d_nanCount_PM,PFTpre_7d_nanCount_O3,PFTpre_7d_nanCount_NO2,PFTpre_7d_nanCount_Temp,PFTpre_7d_countPMsensitive,PFTpre_7d_countPMunhealthy,PFTpre_7d_countO3sensitive,PFTpre_7d_countO3unhealthy,PFTpre_7d_countNO2sensitive,PFTpre_7d_countNO2unhealthy,PFTpre_7d_countTempsensitive,PFTpre_7d_countTempunhealthy,PFTpre_7d_avgPM,PFTpre_7d_avgO3,PFTpre_7d_avgNO2,PFTpre_7d_avgTemp,PFTpre_7d_AUCPM,PFTpre_7d_AUCO3,PFTpre_7d_AUCNO2,PFTpre_7d_AUCTemp,PFTpre_30d_nanCount_PM,PFTpre_30d_nanCount_O3,PFTpre_30d_nanCount_NO2,PFTpre_30d_nanCount_Temp,PFTpre_30d_countPMsensitive,PFTpre_30d_countPMunhealthy,PFTpre_30d_countO3sensitive,PFTpre_30d_countO3unhealthy,PFTpre_30d_countNO2sensitive,PFTpre_30d_countNO2unhealthy,PFTpre_30d_countTempsensitive,PFTpre_30d_countTempunhealthy,PFTpre_30d_avgPM,PFTpre_30d_avgO3,PFTpre_30d_avgNO2,PFTpre_30d_avgTemp,PFTpre_30d_AUCPM,PFTpre_30d_AUCO3,PFTpre_30d_AUCNO2,PFTpre_30d_AUCTemp
D6FBD,C,M,1284,4,7.12,7,1.30417273832632,0.453927621,0.00046845,5.0,1.937721,17.98554,0.48474400391684364,17.4817,18.9549,0.192331,0.009057659067208134,0.18169,0.20909,2.0716799999999997,0.21859656803242714,1.6682,2.3023,0.0014393602,0.0015333083434222153,1.0003e-05,0.0038278,0.004441100000000001,0.0001954720497212382,0.0041011,0.004671,225.16944000360266,0.07831767662316196,0.007940031669942792,0.06854324836237886,0.09181007347377984,332,268,309,367,689,95,52,0,1102,14,0,0,8.77073573987324,0.0211573246682914,0.00973932092004379,51.8440734557596,31829.0,78.134,35.5679999999999,186327.6,2,30,30,1,18,0,134,5,115,0,0,5.82753824756606,0.0342069464544139,0.00694211287988422,58.0725,4190.0,23.637,4.797,41812.2,324,497,518,297,1819,299,651,119,1541,15,254,9,11.6470519631981,0.024310577942736,0.00844370596836366,61.2632489669422,89880.3,183.399,63.5219999999998,474422.600000001,2928,2957,2766,321,4692,447,2480,308,4271,28,1128,32,9.34720857685826,0.0262882627422828,0.00715111760721554,62.0609325813222,260684.3,732.391,200.596000000003,1892610.2,30817,5,18,17,0,0,0,0,0,10,0,0,0,1.95609756097561,0.0259668874172186,0.00596052631578948,61.2366863905325,320.8,3.921,0.906,10349.0,7,41,40,0,0,0,89,9,158,2,80,2,3.00672268907563,0.0271647058823529,0.00856240822320116,71.2729542302358,2146.8,18.472,5.83099999999999,51387.8
66312,C,F,1198,3,4.88,5,0.0856382992530734,0.257269182,0.0002655,4.5,32.0,10.537650000000003,0.46276381364819597,9.5223,11.2302,0.22079100000000002,0.002086988526827857,0.21807,0.22297,0.010000499999999999,1.5811388300841252e-06,0.01,0.010005,1e-05,0.0,1e-05,1e-05,0.00751903,0.0006383496935240295,0.0059148,0.0081262,132.99587845772658,1.2862361755456229,0.023697518110415913,1.2532430699770116,1.3403657178855208,331,266,307,367,676,91,55,0,1089,10,0,0,8.6763085399449,0.0213328822733423,0.00972687465790911,51.4098497495826,31495.0,78.825,35.5419999999999,184767.0,3,30,30,1,47,0,149,5,114,0,0,6.8857938718663,0.0349971056439942,0.0068451519536903,60.0375,4944.0,24.183,4.73,43227.0,325,497,518,297,1740,273,647,119,1516,15,254,9,11.1269051321929,0.0244188759278898,0.00836979928220122,61.1586518595042,85855.2000000001,184.216,62.9659999999998,473612.600000001,2912,2859,2670,320,4336,435,2145,264,3990,26,892,30,9.37307379745366,0.0260351432764348,0.00711643599279234,61.4219252277284,242209.6,674.154000000002,185.618000000003,1746409.6,28753,1,7,7,0,6,0,5,0,5,0,6,0,4.23333333333333,0.0228148148148148,0.00437037037037037,71.6852071005917,711.2,3.696,0.708,12114.8,1,30,30,0,243,2,115,10,50,0,118,15,11.6488888888889,0.0295282199710564,0.00594645441389291,76.6754507628294,8387.2,20.404,4.109,55283.0
7CB9E,C,F,1227,3,5.03,5,0.135386545850465,0.269246936,0.000277861,4.5,4.933654,17.020410000000002,1.6335912098808565,13.7196,19.2113,0.172311,0.037408127592810626,0.10406,0.21396,5.964829999999999,1.52245320165259,1.8212,6.9964,0.0064310455,0.01479092757512331,1e-05,0.044965,0.00456131,0.0005636797779866784,0.0035547,0.0053059,219.2352635536721,0.16999353501993772,0.06378774828590444,0.12842956050285145,0.3431543332815474,332,260,307,367,674,91,55,0,1088,10,0,0,8.65114356572058,0.0213717914077276,0.00971893814997261,51.3567612687813,31395.0,79.097,35.5129999999999,184576.2,2,30,30,1,53,0,153,5,112,0,0,7.1557719054242,0.0349840810419681,0.00689869753979739,60.365,5145.0,24.174,4.767,43462.8,326,498,519,298,1858,302,643,119,1512,15,254,9,11.7613739468568,0.0244336470900173,0.00835894708854026,61.130802014723,90739.0,184.303,62.8759999999998,473335.800000001,2918,2889,2699,321,4709,465,2284,290,4026,26,979,30,9.70770042591685,0.0261888554216868,0.00710392523364496,61.7206399340841,257555.0,695.576000000001,190.030000000003,1797798.8,29449,3,8,7,1,1,0,27,0,8,0,27,0,3.52048192771084,0.025472049689441,0.00725925925925926,73.1214285714286,584.4,4.101,1.176,12284.4,7,31,30,1,279,1,139,26,42,0,87,0,12.1532212885154,0.0320869565217391,0.00664399421128799,73.2225,8677.4,22.14,4.591,52720.2
E6C77,C,F,1240,3,4.47,4,-0.848727744274312,0.22547644,0.00023269,4.0,3.114876,29.642859999999995,0.598230951686349,29.1487,30.9792,0.235975,0.0047955355395525,0.23074,0.24339,5.455209999999999,0.38061874902730575,4.802,5.9479,1e-05,0.0,1e-05,1e-05,0.00234527,3.288262121208981e-05,0.0023022,0.0024143,426.39013844887796,0.35640282690144137,0.022036281203883772,0.3357752095606807,0.40633775660459936,332,260,307,367,674,91,55,0,1088,10,0,0,8.65114356572058,0.0213717914077276,0.00971893814997261,51.3567612687813,31395.0,79.097,35.5129999999999,184576.2,2,30,30,1,53,0,153,5,112,0,0,7.1557719054242,0.0349840810419681,0.00689869753979739,60.365,5145.0,24.174,4.767,43462.8,326,498,519,298,1858,302,643,119,1512,15,254,9,11.7613739468568,0.0244336470900173,0.00835894708854026,61.130802014723,90739.0,184.303,62.8759999999998,473335.800000001,2919,2902,2712,321,5080,468,2346,297,4055,26,1022,30,9.9424260487296,0.026223612197029,0.00710654737698262,61.8292527173914,266874.6,704.340000000001,192.225000000003,1820253.2,29761,0,7,7,0,84,0,39,2,10,0,27,0,13.8733727810651,0.0299382716049383,0.00766666666666667,72.494674556213,2344.6,4.85,1.242,12251.6,7,31,30,1,425,2,125,17,49,0,85,0,15.7095238095238,0.0287,0.00702026049204052,71.955,11216.6,19.803,4.851,51807.6
295C3,C,F,1257,3,4.35,4,-1.15319245711308,0.216439805,0.000223364,4.0,3.390304,25.164109999999997,0.43993355925134386,24.6711,25.7982,0.21040200000000003,0.0031418635658899403,0.20605,0.21569,6.9136299999999995,0.19387911497173235,6.683,7.1946,1.57729e-05,1.3543907580327195e-05,1e-05,5.36e-05,0.00353803,9.013086843276527e-05,0.0034239,0.003732,282.6431658295718,0.136686413024596,0.02274288644879284,0.1151886423837587,0.1852524594478932,332,260,307,367,667,90,57,0,1090,10,0,0,8.60650316891706,0.0213934071872467,0.00973234811165843,51.2771285475793,31233.0,79.177,35.5619999999999,184290.0,2,30,30,1,58,0,157,5,109,0,0,7.33936022253129,0.0352764109985528,0.00683357452966715,60.695,5277.0,24.376,4.722,43700.4,326,498,519,298,1813,301,636,119,1509,15,254,9,11.4072845106935,0.0244311281983296,0.00835695293804837,61.0984889577684,88007.2,184.284,62.8609999999998,473085.600000001,2920,2919,2729,321,5230,468,2421,302,4113,26,1082,32,9.86791074901831,0.0262729541284404,0.007114030612245,62.0108147949612,268890.7,715.938,195.209000000003,1850898.8,30169,0,7,7,0,24,0,21,1,30,0,9,0,5.73609467455621,0.0255185185185185,0.00817901234567902,70.7585798816568,969.4,4.134,1.325,11958.2,2,30,30,0,363,1,140,12,92,0,103,2,13.6264255910987,0.0297076700434153,0.00762083936324167,73.2302357836338,9797.4,20.528,5.26599999999999,52799.0
D7DEA,C,F,1221,3,5.23,5,0.495791003047936,0.285498493,0.000294632,4.5,16.348705,19.549970000000002,0.568521869119092,18.7243,20.4565,0.180396,0.0055285987776691175,0.17246,0.18823,5.3773599999999995,0.24034083760822286,4.9873,5.6732,1.0145999999999999e-05,1.3629053933091254e-07,1e-05,1.0403e-05,0.005922120000000001,0.00025903662460912525,0.0055126,0.006385,168.858449339088,0.27230233886589844,0.022169265841837177,0.23508777762890243,0.30340468793523123,333,260,307,368,648,89,57,0,1092,10,0,0,8.51074972436604,0.0214144825722777,0.00972933771209631,51.2444197049819,30877.0,79.2549999999999,35.5509999999999,184121.2,1,30,30,0,61,0,159,5,109,0,0,7.49305555555556,0.0351577424023155,0.00689290882778582,60.8449375866852,5395.0,24.294,4.763,43869.2,326,498,519,298,1849,302,631,119,1510,15,254,9,11.7303953337654,0.0244287418798887,0.00834977399627756,61.0622239442077,90500.0,184.266,62.8069999999998,472804.800000001,2914,2882,2693,319,4780,467,2259,290,4011,26,962,30,9.81897616611724,0.0261865041819627,0.00710074402525187,61.6925481266819,259132.6,691.926000000002,188.965000000003,1788220.2,29305,0,7,7,0,66,1,25,5,5,0,18,0,10.3112426035503,0.0287530864197531,0.00683950617283951,72.2177514792899,1742.6,4.658,1.108,12204.8,4,30,30,0,284,3,127,26,39,0,76,0,12.9073919107392,0.0318118668596237,0.006205499276411,73.2502080443828,9254.6,21.982,4.288,52813.4
2EA37,C,F,1217,3,4.54,5,-0.584986139100424,0.230804666,0.000238189,4.5,1.662581,18.416739999999997,1.1325353889001044,17.1804,20.4823,0.187844,0.017492188859920054,0.17017,0.21962,5.817119999999999,0.7459834549848348,4.3212,6.6455,0.0005051691,0.0006862857849482969,1.0001e-05,0.0021967,0.00361865,0.000314223385684629,0.0030903,0.0039736,276.3461511889793,0.14485370415423676,0.017317713143392314,0.12584835643116205,0.18332020168252006,332,260,307,368,638,89,63,0,1096,10,0,0,8.47258197850648,0.0214912185895704,0.00973207443897097,51.2910102978013,30747.0,79.5389999999999,35.5609999999999,184288.6,1,30,30,0,61,0,153,5,104,0,0,7.52361111111111,0.0347351664254703,0.00683502170767004,60.6676837725381,5417.0,24.002,4.723,43741.4,326,498,519,298,1840,302,631,119,1511,15,254,9,11.6197018794556,0.0244130982367759,0.00835136931667107,61.0331654397521,89646.0,184.148,62.8189999999998,472579.800000001,2914,2878,2689,319,4578,458,2243,290,4005,26,952,30,9.55153451226469,0.0261704834605599,0.0071024886877829,61.6570093457944,251157.6,689.095000000002,188.358000000003,1781271.0,29209,0,7,7,0,102,1,22,5,5,0,8,0,14.9242603550296,0.0286913580246914,0.00627160493827161,70.8863905325444,2522.2,4.648,1.016,11979.8,5,30,30,0,206,3,117,26,38,0,66,0,10.3832402234637,0.0314616497829233,0.00595658465991317,72.8732316227462,7434.4,21.74,4.116,52541.6
2EF34,C,M,1280,4,6.75,7,0.887902427564092,0.418938653,0.000432341,4.5,8.835076,24.59265,0.627494115510257,23.8974,25.7307,0.195928,0.011243258523320636,0.18154,0.21522,3.5433600000000007,0.3158113121610575,2.796,3.9173,1.1424299999999998e-05,2.3911438476177045e-06,1e-05,1.7323e-05,0.00508663,0.0004495553162107343,0.0045395,0.0056242,196.59381555175037,0.18176398640292873,0.042217785840586684,0.14042919768539106,0.2481457778395325,332,260,307,368,638,89,63,0,1096,10,0,0,8.47258197850648,0.0214912185895704,0.00973207443897097,51.2910102978013,30747.0,79.5389999999999,35.5609999999999,184288.6,1,30,30,0,61,0,153,5,104,0,0,7.52361111111111,0.0347351664254703,0.00683502170767004,60.6676837725381,5417.0,24.002,4.723,43741.4,326,498,519,298,1849,302,631,119,1511,15,254,9,11.7187297472456,0.0244130982367759,0.00835136931667107,61.0331654397521,90410.0,184.148,62.8189999999998,472579.800000001,2928,2961,2770,321,5584,470,2456,308,4248,28,1128,32,10.1096535098766,0.0262048991354467,0.00715083539050492,62.1283289473685,280977.6,727.448,199.873000000003,1888701.2,30721,2,15,15,1,9,0,2,0,30,0,0,0,6.04550898203593,0.017538961038961,0.00862987012987014,63.9607142857143,1009.6,2.701,1.329,10745.4,9,49,48,1,271,1,55,6,161,2,51,0,12.5724719101124,0.0238526785714285,0.00868499257057948,68.4275,8951.6,16.029,5.84499999999999,49267.8
D099E,C,M,1277,3,5.0,5,-1.17535148205977,0.266836813,0.000275373,4.5,4.373738,22.725569999999998,1.242214445657432,21.5201,24.908,0.19512100000000002,0.018693810889049766,0.1768,0.22702,3.95105,0.480753309921003,3.1024,4.4269,0.002489327,0.0022967994314750254,1.0238e-05,0.0051819,0.0029527,0.00022365300007923982,0.0025464,0.0031711,338.67307887696006,0.0960956788597327,0.0151348379258871,0.0798900945912441,0.12360545315974232,332,260,307,368,638,89,63,0,1096,10,0,0,8.47258197850648,0.0214912185895704,0.00973207443897097,51.2910102978013,30747.0,79.5389999999999,35.5609999999999,184288.6,1,30,30,0,61,0,153,5,104,0,0,7.52361111111111,0.0347351664254703,0.00683502170767004,60.6676837725381,5417.0,24.002,4.723,43741.4,326,498,519,298,1736,286,631,119,1511,15,254,9,11.178898250162,0.0244130982367759,0.00835136931667107,61.0331654397521,86245.2,184.148,62.8189999999998,472579.800000001,2926,2954,2763,320,5077,397,2456,308,4235,28,1128,32,9.56547271218843,0.026217331648312,0.00714960912285746,62.1165419235716,265183.6,726.089,199.374000000003,1883932.6,30649,3,18,18,0,17,0,2,0,22,0,0,0,8.75060240963855,0.0185695364238411,0.00803973509933775,59.5218934911243,1452.6,2.804,1.214,10059.2,7,45,44,0,329,1,67,7,159,2,55,0,13.9952380952381,0.0249881656804734,0.00865288035450516,69.0235783633842,9992.6,16.892,5.85799999999999,49766.0
2FA4D,C,F,1198,3,4.5,5,-0.524075599337699,0.227754864,0.000235041,4.5,5.447935,14.67664,0.4171642074771038,14.1126,15.3009,0.291811,0.005178319010815943,0.28173,0.30006,0.010395,0.0004428252727907727,0.01,0.011243,1e-05,0.0,1e-05,1e-05,0.00480359,0.00011469789739427062,0.0046321,0.0050512,208.17763381137857,1.5156058673597759,0.017485074702150633,1.4874040229683154,1.5345777065558213,332,256,303,368,627,89,72,0,1097,10,0,0,8.44006613392119,0.0216348178137652,0.00972279934390375,51.381185638742,30629.0,80.1569999999999,35.5659999999999,184612.6,1,30,30,0,63,0,157,5,96,0,0,7.49861111111111,0.035218523878437,0.00658610709117221,60.65520110957,5399.0,24.336,4.551,43732.4,326,498,519,298,1706,286,618,119,1511,15,254,9,11.1883214517174,0.0243145963144638,0.0083606753522999,60.998527702441,86317.9,183.405,62.8889999999998,472311.600000001,2910,2859,2670,319,4383,450,2140,265,3975,26,918,30,9.56932631660411,0.0260176874951727,0.00710915155465255,61.4945136104664,247300.1,673.702000000002,185.428000000003,1748535.0,28753,0,7,7,0,28,2,23,1,16,0,32,0,8.32662721893491,0.0282530864197531,0.00608641975308642,77.0852071005917,1407.2,4.577,0.986,13027.4,1,30,30,0,217,3,100,6,44,0,112,10,11.7336111111111,0.0284978292329956,0.00574819102749638,75.9988904299584,8448.2,19.692,3.972,54795.2
